applicant_id,jurisdiction,age,income,credit_score,debt_to_income,employment_length,loan_amount,postcode_risk_band,thin_file_flag,income_instability_flag,model_score,decision,observed_default,gender_audit,age_band,protected_group_flag,audit_group,denial_feature_candidate
APP-00018,EU,35,33746,745,0.252,4.0,16024,Low,0,0,0.7278,Approved,0,Male,26-35,0,Reference audit group,credit_score
APP-00019,US,25,25529,670,0.283,4.3,11795,High,0,0,0.337,Declined,0,Female,19-25,0,Reference audit group,postcode_risk_band
APP-00020,US,22,30754,626,0.141,1.6,13403,High,0,0,0.2645,Declined,0,Female,19-25,0,Reference audit group,credit_score
APP-00021,US,40,49672,680,0.239,3.4,13527,Low,0,0,0.5965,Approved,0,Female,36-45,0,Reference audit group,credit_score
APP-00022,EU,30,39966,576,0.242,1.8,12861,High,0,0,0.1525,Declined,0,Male,26-35,1,Protected audit group,credit_score
APP-00023,US,19,50026,554,0.589,0.6,36809,High,1,0,0.0334,Declined,1,Male,19-25,1,Protected audit group,credit_score
APP-00024,EU,58,85202,781,0.386,2.2,31852,Medium,0,0,0.7933,Approved,0,Female,56+,0,Reference audit group,postcode_risk_band
APP-00025,EU,31,33199,686,0.256,2.3,17404,Low,0,0,0.5121,Declined,0,Male,26-35,0,Reference audit group,credit_score
APP-00026,US,43,79602,741,0.341,10.1,28172,Low,0,0,0.8052,Approved,0,Male,36-45,0,Reference audit group,credit_score
APP-00027,US,29,114000,762,0.542,2.9,52892,Low,0,1,0.7001,Approved,0,Male,26-35,0,Reference audit group,debt_to_income
APP-00028,US,38,22063,605,0.313,1.7,8019,High,0,1,0.1172,Declined,1,Male,36-45,1,Protected audit group,credit_score
APP-00029,EU,31,52132,663,0.264,5.2,26794,Medium,0,0,0.4673,Declined,0,Female,26-35,0,Reference audit group,postcode_risk_band
APP-00030,EU,53,88170,689,0.422,9.4,41217,Medium,0,0,0.5759,Approved,0,Female,46-55,0,Reference audit group,debt_to_income
APP-00031,US,41,45559,699,0.26,2.3,17315,Low,0,0,0.6086,Approved,0,Male,36-45,0,Reference audit group,credit_score
APP-00032,EU,30,31545,753,0.398,3.5,15832,High,0,0,0.5576,Declined,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00033,EU,29,90232,704,0.318,7.3,33200,Medium,0,1,0.6241,Approved,0,Male,26-35,1,Protected audit group,income_instability_flag
APP-00034,US,41,23149,680,0.438,5.4,15002,Low,0,0,0.3826,Declined,0,Male,36-45,0,Reference audit group,debt_to_income
APP-00035,US,40,20350,550,0.404,2.0,8695,High,1,0,0.0399,Declined,1,Male,36-45,1,Protected audit group,credit_score
APP-00036,US,41,31309,687,0.406,3.6,11108,Low,0,0,0.4726,Declined,0,Female,36-45,0,Reference audit group,debt_to_income
APP-00037,US,32,20169,616,0.326,5.0,7987,Very High,0,0,0.146,Declined,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00038,EU,39,42139,652,0.29,8.9,14745,Low,1,0,0.406,Declined,0,Male,36-45,1,Protected audit group,thin_file_flag
APP-00039,EU,32,45868,663,0.4,7.5,17776,Medium,1,0,0.3331,Declined,0,Female,26-35,1,Protected audit group,thin_file_flag
APP-00040,EU,44,59802,583,0.535,5.6,39688,Low,0,1,0.1401,Declined,1,Male,36-45,0,Reference audit group,credit_score
APP-00041,EU,41,45944,657,0.273,9.7,18084,High,0,0,0.4197,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00042,EU,49,61776,733,0.341,6.2,24792,Medium,0,1,0.6457,Approved,0,Female,46-55,0,Reference audit group,income_instability_flag
APP-00043,EU,37,60611,667,0.255,3.0,20401,Very High,0,0,0.3756,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00044,EU,30,83202,725,0.371,7.1,39848,High,0,0,0.6359,Approved,0,Male,26-35,1,Protected audit group,postcode_risk_band
APP-00045,US,26,50858,645,0.211,3.1,11020,High,1,0,0.2897,Declined,0,Female,26-35,0,Reference audit group,thin_file_flag
APP-00046,EU,43,40237,724,0.372,2.1,27001,Medium,0,0,0.5221,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00047,US,27,42957,679,0.327,1.5,26245,Low,0,0,0.4567,Declined,0,Female,26-35,0,Reference audit group,employment_length
APP-00048,EU,53,63403,726,0.307,2.6,28124,Low,0,0,0.6977,Approved,0,Female,46-55,0,Reference audit group,credit_score
APP-00049,US,38,46474,668,0.393,3.3,16523,Low,0,0,0.4555,Declined,1,Male,36-45,0,Reference audit group,debt_to_income
APP-00050,EU,31,79241,667,0.45,4.9,38419,Low,0,0,0.4854,Declined,0,Male,26-35,1,Protected audit group,debt_to_income
APP-00051,EU,37,34516,578,0.361,3.5,15400,Very High,0,0,0.0977,Declined,0,Female,36-45,1,Protected audit group,credit_score
APP-00052,EU,35,41803,632,0.352,3.1,14658,Low,0,0,0.3465,Declined,0,Female,26-35,0,Reference audit group,credit_score
APP-00053,EU,21,31758,517,0.265,4.0,9869,Very High,0,0,0.0586,Declined,0,Male,19-25,1,Protected audit group,credit_score
APP-00054,EU,50,73922,623,0.343,4.8,31211,Low,1,1,0.2499,Declined,0,Male,46-55,0,Reference audit group,thin_file_flag
APP-00055,EU,43,86025,618,0.297,0.7,27293,High,0,0,0.2736,Declined,1,Male,36-45,0,Reference audit group,employment_length
APP-00056,US,38,38130,618,0.335,3.4,15790,High,0,0,0.2092,Declined,0,Male,36-45,0,Reference audit group,credit_score
APP-00057,US,36,38411,639,0.594,2.0,14041,High,0,1,0.1318,Declined,0,Female,36-45,1,Protected audit group,debt_to_income
APP-00058,EU,34,119268,678,0.269,6.5,80698,Low,0,0,0.6527,Approved,0,Female,26-35,0,Reference audit group,loan_amount
APP-00059,US,25,26439,689,0.401,3.0,9511,Medium,1,0,0.3049,Declined,0,Male,19-25,1,Protected audit group,thin_file_flag
APP-00060,EU,19,83260,700,0.207,5.1,28501,Low,0,1,0.6821,Approved,0,Male,19-25,0,Reference audit group,income_instability_flag
APP-00061,US,44,28160,711,0.289,5.2,13937,Low,0,1,0.5422,Declined,0,Male,36-45,1,Protected audit group,income_instability_flag
APP-00062,US,36,43089,707,0.405,2.1,21375,Medium,0,0,0.4805,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00063,US,27,27566,628,0.304,3.3,9436,Medium,1,0,0.1979,Declined,0,Male,26-35,1,Protected audit group,thin_file_flag
APP-00064,EU,36,34866,632,0.362,11.9,20248,Very High,1,1,0.1201,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00065,US,28,54133,753,0.441,1.5,27997,Low,0,0,0.6781,Approved,0,Male,26-35,0,Reference audit group,debt_to_income
APP-00066,EU,26,56448,690,0.137,3.5,22053,Very High,0,0,0.5036,Declined,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00067,EU,46,38367,730,0.191,1.8,13056,High,0,0,0.6091,Approved,0,Female,46-55,0,Reference audit group,postcode_risk_band
APP-00068,US,33,73125,757,0.248,17.9,36077,Very High,1,0,0.6391,Approved,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00069,US,39,35764,616,0.529,13.3,18517,High,0,0,0.1679,Declined,0,Male,36-45,1,Protected audit group,credit_score
APP-00070,EU,32,51060,711,0.392,5.3,26180,Low,0,0,0.6144,Approved,0,Male,26-35,1,Protected audit group,debt_to_income
APP-00071,US,35,61385,780,0.061,1.5,18964,Low,0,0,0.8895,Approved,0,Male,26-35,0,Reference audit group,employment_length
APP-00072,EU,41,50421,682,0.285,2.9,18270,High,1,0,0.3426,Declined,0,Male,36-45,0,Reference audit group,thin_file_flag
APP-00073,EU,54,45800,589,0.385,11.3,19436,Medium,0,1,0.1843,Declined,0,Female,46-55,0,Reference audit group,credit_score
APP-00074,US,23,45375,746,0.322,1.7,20060,Medium,0,0,0.6583,Approved,0,Female,19-25,0,Reference audit group,postcode_risk_band
APP-00075,US,33,30560,635,0.222,2.6,16023,Low,1,1,0.2209,Declined,0,Male,26-35,1,Protected audit group,thin_file_flag
APP-00076,US,38,89528,708,0.209,10.8,26000,Low,0,1,0.7483,Approved,0,Female,36-45,0,Reference audit group,income_instability_flag
APP-00077,US,28,69543,644,0.364,3.5,25360,Low,0,0,0.4366,Declined,0,Female,26-35,0,Reference audit group,credit_score
APP-00078,EU,54,20221,739,0.216,10.7,8882,Low,0,1,0.6766,Approved,0,Male,46-55,0,Reference audit group,income_instability_flag
APP-00079,EU,19,55713,751,0.327,2.2,20724,High,0,0,0.6487,Approved,0,Male,19-25,0,Reference audit group,postcode_risk_band
APP-00080,US,33,35893,547,0.524,2.7,19088,Medium,0,0,0.0717,Declined,1,Female,26-35,1,Protected audit group,credit_score
APP-00081,EU,27,31137,740,0.17,1.3,5780,Medium,0,0,0.7008,Approved,0,Male,26-35,0,Reference audit group,employment_length
APP-00082,EU,45,51630,622,0.386,1.2,16221,Low,0,0,0.3037,Declined,0,Female,36-45,0,Reference audit group,credit_score
APP-00083,US,30,18000,648,0.374,2.9,11389,Very High,0,0,0.1495,Declined,0,Female,26-35,1,Protected audit group,postcode_risk_band
APP-00084,US,43,53806,580,0.405,3.5,15475,Very High,1,1,0.065,Declined,1,Male,36-45,1,Protected audit group,credit_score
APP-00085,EU,38,33006,727,0.277,4.3,18192,Low,0,0,0.657,Approved,0,Female,36-45,0,Reference audit group,loan_amount
APP-00086,US,34,44864,534,0.186,3.3,12582,Low,1,0,0.1249,Declined,0,Female,26-35,0,Reference audit group,credit_score
APP-00087,US,26,65527,588,0.386,2.5,33785,Medium,1,0,0.1339,Declined,1,Male,26-35,0,Reference audit group,credit_score
APP-00088,US,58,70321,782,0.579,1.6,52026,Low,0,0,0.6988,Approved,0,Female,56+,0,Reference audit group,debt_to_income
APP-00089,US,46,73090,662,0.229,3.4,17778,Medium,0,0,0.5348,Declined,0,Female,46-55,0,Reference audit group,postcode_risk_band
APP-00090,US,49,44245,577,0.337,10.3,7472,High,1,1,0.1095,Declined,1,Female,46-55,1,Protected audit group,credit_score
APP-00091,US,48,59130,706,0.412,2.5,29600,Medium,0,0,0.5138,Declined,0,Male,46-55,1,Protected audit group,postcode_risk_band
APP-00092,EU,47,85085,711,0.182,2.0,39903,Low,0,0,0.7272,Approved,0,Male,46-55,0,Reference audit group,credit_score
APP-00093,EU,44,52975,723,0.286,8.3,26290,High,0,0,0.633,Approved,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00094,EU,37,36893,675,0.332,5.1,18918,Low,0,0,0.487,Declined,1,Female,36-45,0,Reference audit group,credit_score
APP-00095,US,36,27222,617,0.263,4.9,10409,Medium,0,0,0.2723,Declined,0,Female,36-45,0,Reference audit group,credit_score
APP-00096,US,22,18000,656,0.52,2.3,10468,Medium,1,0,0.1347,Declined,0,Female,19-25,0,Reference audit group,debt_to_income
APP-00097,US,45,50384,593,0.264,1.7,17622,High,1,1,0.1072,Declined,0,Male,36-45,1,Protected audit group,credit_score
APP-00098,EU,46,68499,693,0.407,4.0,32782,Medium,0,1,0.4506,Declined,0,Male,46-55,1,Protected audit group,income_instability_flag
APP-00099,US,32,61229,775,0.451,6.4,25758,Low,0,0,0.8026,Approved,0,Male,26-35,0,Reference audit group,debt_to_income
APP-00100,EU,36,53733,693,0.29,4.2,18772,Very High,1,0,0.3439,Declined,0,Male,36-45,1,Protected audit group,postcode_risk_band
APP-00101,EU,24,39810,743,0.379,2.7,12325,Low,0,0,0.6875,Approved,1,Female,19-25,0,Reference audit group,debt_to_income
APP-00102,EU,53,50235,577,0.465,6.4,18727,Low,1,0,0.1438,Declined,1,Female,46-55,1,Protected audit group,credit_score
APP-00103,EU,39,52778,707,0.372,15.5,19978,High,1,0,0.4489,Declined,0,Male,36-45,0,Reference audit group,thin_file_flag
APP-00104,EU,25,96168,756,0.477,1.0,34323,Low,0,0,0.7377,Approved,0,Female,19-25,0,Reference audit group,employment_length
APP-00105,EU,37,66400,566,0.539,4.2,38374,Medium,0,1,0.0951,Declined,0,Female,36-45,1,Protected audit group,credit_score
APP-00106,EU,33,41052,704,0.434,8.0,23620,Medium,0,0,0.5193,Declined,0,Male,26-35,0,Reference audit group,debt_to_income
APP-00107,US,47,44293,676,0.409,1.8,22671,Low,0,0,0.4259,Declined,0,Female,46-55,1,Protected audit group,debt_to_income
APP-00108,US,58,49266,679,0.453,5.5,34829,Low,0,0,0.4471,Declined,0,Male,56+,0,Reference audit group,debt_to_income
APP-00109,US,39,31154,749,0.252,2.7,15401,High,0,0,0.608,Approved,0,Female,36-45,1,Protected audit group,postcode_risk_band
APP-00110,US,30,32135,532,0.257,4.2,7348,Low,1,0,0.1003,Declined,1,Female,26-35,1,Protected audit group,credit_score
APP-00111,US,24,84810,720,0.18,7.8,32111,Medium,0,1,0.7323,Approved,0,Male,19-25,1,Protected audit group,income_instability_flag
APP-00112,EU,35,52952,642,0.27,14.5,13377,Medium,0,0,0.4714,Declined,1,Female,26-35,1,Protected audit group,credit_score
APP-00113,US,66,61497,642,0.399,4.7,33855,Low,0,1,0.3313,Declined,1,Female,56+,1,Protected audit group,income_instability_flag
APP-00114,EU,19,36147,557,0.27,3.7,17179,Medium,1,0,0.0979,Declined,0,Male,19-25,0,Reference audit group,credit_score
APP-00115,US,40,88029,730,0.345,1.7,26672,Low,0,0,0.7291,Approved,1,Male,36-45,0,Reference audit group,employment_length
APP-00116,US,34,68111,651,0.376,14.9,19136,Very High,0,1,0.2955,Declined,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00117,US,44,69634,699,0.344,2.5,26719,High,0,0,0.4962,Declined,0,Male,36-45,0,Reference audit group,postcode_risk_band
APP-00118,US,43,33560,576,0.329,11.9,16017,Low,1,0,0.159,Declined,0,Female,36-45,0,Reference audit group,credit_score
APP-00119,US,39,55613,628,0.065,7.6,15565,Low,0,0,0.582,Approved,0,Female,36-45,0,Reference audit group,credit_score
APP-00120,EU,45,72868,626,0.521,14.3,35543,Low,0,0,0.3474,Declined,0,Female,36-45,0,Reference audit group,debt_to_income
APP-00121,EU,21,58779,671,0.31,0.5,27595,Low,0,0,0.4805,Declined,0,Female,19-25,0,Reference audit group,employment_length
APP-00122,US,43,106740,649,0.325,4.0,18197,Medium,1,1,0.3402,Declined,0,Female,36-45,1,Protected audit group,thin_file_flag
APP-00123,US,35,24314,570,0.263,5.1,10950,Low,0,0,0.1858,Declined,0,Male,26-35,1,Protected audit group,credit_score
APP-00124,EU,24,35399,687,0.398,8.2,18418,Medium,1,1,0.3139,Declined,0,Male,19-25,1,Protected audit group,thin_file_flag
APP-00125,EU,38,64004,642,0.111,5.9,19822,Medium,1,0,0.4344,Declined,1,Male,36-45,1,Protected audit group,thin_file_flag
APP-00126,US,55,39157,737,0.424,8.7,19306,Very High,0,0,0.5176,Declined,0,Male,46-55,0,Reference audit group,postcode_risk_band
APP-00127,EU,27,56920,605,0.441,7.5,40033,Low,0,0,0.267,Declined,1,Male,26-35,1,Protected audit group,credit_score
APP-00128,EU,36,62908,799,0.259,0.6,30033,Low,0,1,0.8235,Approved,0,Female,36-45,0,Reference audit group,employment_length
APP-00129,US,39,50114,666,0.233,3.4,16980,Medium,0,0,0.4899,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00130,US,38,33408,672,0.474,0.3,17996,Medium,1,1,0.1674,Declined,0,Female,36-45,0,Reference audit group,employment_length
APP-00131,US,39,47755,771,0.403,5.3,23962,Low,0,1,0.7271,Approved,0,Male,36-45,0,Reference audit group,income_instability_flag
APP-00132,EU,36,80544,727,0.235,3.1,20107,Medium,0,0,0.7366,Approved,1,Male,36-45,0,Reference audit group,postcode_risk_band
APP-00133,US,26,55367,631,0.223,5.0,19676,Medium,1,1,0.2613,Declined,0,Female,26-35,1,Protected audit group,thin_file_flag
APP-00134,US,24,37991,661,0.448,3.7,15397,Medium,1,0,0.2449,Declined,0,Male,19-25,0,Reference audit group,thin_file_flag
APP-00135,EU,37,57081,529,0.226,6.3,24242,Very High,1,0,0.0673,Declined,0,Female,36-45,1,Protected audit group,credit_score
APP-00136,US,26,84773,753,0.395,6.6,41686,Medium,0,1,0.7045,Approved,0,Male,26-35,0,Reference audit group,income_instability_flag
APP-00137,US,40,52863,634,0.388,5.3,20162,Low,0,1,0.3264,Declined,1,Male,36-45,1,Protected audit group,income_instability_flag
APP-00138,EU,52,69427,655,0.456,4.0,39898,Medium,0,0,0.3511,Declined,1,Male,46-55,0,Reference audit group,debt_to_income
APP-00139,US,31,31021,571,0.226,5.4,8722,Low,1,1,0.138,Declined,0,Male,26-35,0,Reference audit group,credit_score
APP-00140,EU,56,52328,646,0.396,0.8,28112,Medium,0,0,0.2908,Declined,0,Male,56+,0,Reference audit group,employment_length
APP-00141,EU,34,36897,752,0.359,6.6,16126,Medium,0,0,0.6981,Approved,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00142,EU,38,33825,658,0.346,6.9,9840,High,0,1,0.2989,Declined,0,Female,36-45,1,Protected audit group,postcode_risk_band
APP-00143,US,36,59037,644,0.543,23.1,28142,High,1,1,0.1582,Declined,1,Female,36-45,1,Protected audit group,debt_to_income
APP-00144,US,38,85516,697,0.408,3.4,31962,Low,0,0,0.6109,Approved,0,Female,36-45,0,Reference audit group,debt_to_income
APP-00145,EU,20,26322,760,0.395,5.0,12599,Medium,0,0,0.6472,Approved,0,Female,19-25,1,Protected audit group,postcode_risk_band
APP-00146,EU,42,23761,565,0.325,5.8,9089,High,1,0,0.0753,Declined,1,Male,36-45,1,Protected audit group,credit_score
APP-00147,US,44,59495,688,0.4,2.5,34146,Medium,0,0,0.4496,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00148,EU,19,149603,642,0.252,4.5,75893,Medium,0,1,0.4503,Declined,1,Male,19-25,0,Reference audit group,income_instability_flag
APP-00149,EU,35,35267,718,0.372,1.6,18708,High,0,0,0.4359,Declined,1,Female,26-35,1,Protected audit group,postcode_risk_band
APP-00150,EU,36,54980,677,0.248,5.2,26373,High,0,0,0.469,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00151,US,46,42148,759,0.217,7.4,17759,Medium,0,0,0.7932,Approved,0,Male,46-55,0,Reference audit group,postcode_risk_band
APP-00152,US,41,41781,695,0.275,6.3,12765,High,0,0,0.5251,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00153,US,41,36767,569,0.361,2.2,19456,Medium,1,0,0.0866,Declined,0,Female,36-45,1,Protected audit group,credit_score
APP-00154,EU,38,48532,684,0.278,2.8,21083,Medium,0,0,0.5014,Declined,0,Male,36-45,0,Reference audit group,postcode_risk_band
APP-00155,EU,45,52246,661,0.441,3.6,23003,Medium,0,1,0.305,Declined,0,Female,36-45,0,Reference audit group,income_instability_flag
APP-00156,US,39,106454,698,0.434,0.6,56256,Low,1,0,0.4613,Declined,0,Female,36-45,1,Protected audit group,employment_length
APP-00157,EU,27,49092,689,0.544,3.1,31701,Very High,0,1,0.2081,Declined,0,Female,26-35,1,Protected audit group,postcode_risk_band
APP-00158,EU,65,47355,743,0.283,3.1,22528,Medium,0,0,0.6843,Approved,0,Female,56+,0,Reference audit group,postcode_risk_band
APP-00159,EU,32,59863,622,0.469,3.2,27573,Low,0,0,0.2866,Declined,0,Male,26-35,0,Reference audit group,credit_score
APP-00160,US,44,18000,627,0.306,3.3,7865,Very High,0,1,0.1198,Declined,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00161,EU,46,43143,724,0.14,1.8,15932,Medium,0,0,0.6826,Approved,0,Male,46-55,0,Reference audit group,postcode_risk_band
APP-00162,EU,21,45637,635,0.293,1.9,13990,Medium,0,0,0.3338,Declined,0,Female,19-25,0,Reference audit group,credit_score
APP-00163,EU,54,60214,712,0.399,3.9,26534,Medium,1,1,0.4046,Declined,0,Male,46-55,0,Reference audit group,thin_file_flag
APP-00164,EU,41,40728,669,0.304,4.1,17619,Medium,0,0,0.4358,Declined,0,Male,36-45,0,Reference audit group,postcode_risk_band
APP-00165,EU,37,29779,582,0.26,1.7,15679,High,0,0,0.1269,Declined,0,Female,36-45,0,Reference audit group,credit_score
APP-00166,US,48,59460,764,0.271,1.9,30436,Medium,0,0,0.7499,Approved,0,Female,46-55,1,Protected audit group,postcode_risk_band
APP-00167,US,24,32978,501,0.279,3.7,14695,Medium,1,1,0.0366,Declined,1,Female,19-25,1,Protected audit group,credit_score
APP-00168,US,33,27511,599,0.277,5.8,10205,Low,0,1,0.2271,Declined,1,Female,26-35,1,Protected audit group,credit_score
APP-00169,US,39,32814,660,0.099,3.2,11258,High,1,0,0.3265,Declined,1,Male,36-45,0,Reference audit group,thin_file_flag
APP-00170,EU,38,57777,683,0.101,2.8,11289,Medium,0,0,0.6412,Approved,0,Male,36-45,0,Reference audit group,postcode_risk_band
APP-00171,EU,56,59213,811,0.512,1.0,22978,Low,0,0,0.8127,Approved,0,Male,56+,0,Reference audit group,debt_to_income
APP-00172,EU,35,42913,614,0.456,6.7,21976,Medium,1,0,0.1652,Declined,0,Male,26-35,0,Reference audit group,credit_score
APP-00173,US,33,62406,682,0.289,1.7,27631,Medium,0,0,0.5008,Declined,0,Female,26-35,1,Protected audit group,postcode_risk_band
APP-00174,US,25,23481,703,0.533,3.5,10077,Very High,0,0,0.2576,Declined,0,Male,19-25,1,Protected audit group,postcode_risk_band
APP-00175,EU,30,53098,722,0.281,1.5,22064,Low,0,0,0.671,Approved,0,Male,26-35,0,Reference audit group,employment_length
APP-00176,EU,55,69975,755,0.434,5.9,32765,Low,0,1,0.7156,Approved,0,Male,46-55,0,Reference audit group,income_instability_flag
APP-00177,US,55,30697,659,0.363,2.8,14106,Low,0,0,0.3748,Declined,0,Male,46-55,0,Reference audit group,credit_score
APP-00178,US,50,58656,666,0.222,6.3,17589,Medium,1,0,0.454,Declined,0,Female,46-55,1,Protected audit group,thin_file_flag
APP-00179,EU,56,63861,633,0.525,7.7,36385,Low,0,0,0.339,Declined,0,Male,56+,0,Reference audit group,debt_to_income
APP-00180,EU,43,57985,690,0.406,6.0,30541,Very High,1,0,0.2891,Declined,0,Female,36-45,1,Protected audit group,postcode_risk_band
APP-00181,EU,45,47602,801,0.302,5.2,12937,Medium,0,0,0.8524,Approved,0,Female,36-45,0,Reference audit group,postcode_risk_band
APP-00182,US,32,59616,638,0.279,1.0,34409,Very High,1,1,0.1327,Declined,0,Female,26-35,1,Protected audit group,postcode_risk_band
APP-00183,US,28,41966,733,0.311,1.9,15248,Medium,0,1,0.5682,Approved,0,Female,26-35,1,Protected audit group,income_instability_flag
APP-00184,US,27,32797,766,0.374,8.2,9210,Low,0,0,0.791,Approved,0,Female,26-35,1,Protected audit group,debt_to_income
APP-00185,US,20,41943,652,0.375,11.3,16124,Medium,0,0,0.4058,Declined,0,Female,19-25,0,Reference audit group,postcode_risk_band
APP-00186,EU,45,50052,678,0.254,0.8,16364,Very High,0,0,0.3638,Declined,0,Male,36-45,0,Reference audit group,postcode_risk_band
APP-00187,EU,54,55336,686,0.207,6.7,25126,Medium,0,0,0.6092,Approved,0,Male,46-55,0,Reference audit group,postcode_risk_band
APP-00188,US,35,23025,673,0.384,3.4,13676,Low,1,0,0.2767,Declined,0,Male,26-35,0,Reference audit group,thin_file_flag
APP-00189,EU,19,43936,663,0.341,3.1,26258,Medium,1,0,0.2782,Declined,1,Female,19-25,1,Protected audit group,thin_file_flag
APP-00190,EU,48,98251,843,0.452,2.5,47840,Low,0,0,0.9071,Approved,0,Female,46-55,0,Reference audit group,debt_to_income
APP-00191,US,51,30578,675,0.579,3.4,19983,High,0,1,0.1736,Declined,0,Female,46-55,1,Protected audit group,debt_to_income
APP-00192,US,40,58166,658,0.335,5.8,32047,Low,0,0,0.4833,Declined,0,Female,36-45,0,Reference audit group,credit_score
APP-00193,EU,26,50781,772,0.172,1.7,18827,High,0,0,0.7603,Approved,0,Male,26-35,0,Reference audit group,postcode_risk_band
APP-00194,EU,45,48073,680,0.362,7.6,23049,Very High,0,1,0.3227,Declined,0,Female,36-45,1,Protected audit group,postcode_risk_band
APP-00195,EU,44,43614,748,0.417,6.9,31308,Low,0,1,0.6368,Approved,0,Male,36-45,0,Reference audit group,income_instability_flag
APP-00196,EU,28,66125,669,0.388,0.9,27912,Medium,0,1,0.3461,Declined,0,Female,26-35,0,Reference audit group,employment_length
APP-00197,US,45,65117,635,0.14,5.1,22790,Medium,1,0,0.3825,Declined,1,Male,36-45,0,Reference audit group,thin_file_flag
APP-00198,EU,19,41126,616,0.256,4.7,14979,Medium,1,0,0.2286,Declined,1,Female,19-25,0,Reference audit group,credit_score
APP-00199,US,51,88105,755,0.44,4.9,39253,Medium,0,0,0.7315,Approved,0,Male,46-55,0,Reference audit group,debt_to_income
APP-00200,EU,29,58907,711,0.541,8.2,25427,High,0,0,0.4832,Declined,1,Female,26-35,0,Reference audit group,debt_to_income
APP-00201,EU,55,96905,694,0.329,7.4,42004,Low,0,0,0.6939,Approved,0,Female,46-55,0,Reference audit group,credit_score
APP-00202,EU,36,56631,597,0.435,6.0,20485,Low,1,1,0.1595,Declined,1,Female,36-45,0,Reference audit group,credit_score
APP-00203,EU,47,45055,670,0.173,5.1,15064,Very High,0,0,0.4226,Declined,1,Male,46-55,0,Reference audit group,postcode_risk_band
